?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0001062>	"XAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"EHDAA2:0002229"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"CARO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BIRNLEX:6"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"UMLS:C1515976"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"FBbt:10000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	<http://linkedlifedata.com/resource/umls/id/C1515976>
<http://purl.obolibrary.org/obo/GO_0051716>	"Reactome:R-HSA-8953897"
<http://purl.obolibrary.org/obo/SO_0000704>	"SNOMEDCT:67271001"
<http://purl.obolibrary.org/obo/SO_0000704>	"NCIt:C16612"
<http://purl.obolibrary.org/obo/PATO_0001018>	"Wikipedia:Physical_property"
<http://purl.obolibrary.org/obo/GO_1990904>	"Wikipedia:Ribonucleoprotein"
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Wikipedia:Cyclic_compound"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"HAO:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"VHOG:0001721"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"AAO:0010264"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"FMA:67165"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"BILA:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"TAO:0001836"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"AEO:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"CARO:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"EHDAA2:0003006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"TGMA:0001826"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"FBbt:00007016"
<http://purl.obolibrary.org/obo/GO_0005635>	"Wikipedia:Nuclear_envelope"
<http://purl.obolibrary.org/obo/GO_0005938>	"Wikipedia:Cell_cortex"
<http://purl.obolibrary.org/obo/GO_0043227>	"NIF_Subcellular:sao414196390"
