?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_23357>	<http://www.w3.org/2000/01/rdf-schema#label>	"cofactor"	
<http://purl.obolibrary.org/obo/CHEBI_50297>	<http://www.w3.org/2000/01/rdf-schema#label>	"canonical nucleotide residue"	
<http://purl.obolibrary.org/obo/CHEBI_60466>	<http://www.w3.org/2000/01/rdf-schema#label>	"peptide zwitterion"	
<http://purl.obolibrary.org/obo/CHEBI_30222>	<http://www.w3.org/2000/01/rdf-schema#label>	"neutron"	
<http://purl.obolibrary.org/obo/CHEBI_33674>	<http://www.w3.org/2000/01/rdf-schema#label>	"s-block molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_72695>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic molecule"	
<http://purl.obolibrary.org/obo/CHEBI_75771>	<http://www.w3.org/2000/01/rdf-schema#label>	"mouse metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_33233>	<http://www.w3.org/2000/01/rdf-schema#label>	"fundamental particle"	
<http://purl.obolibrary.org/obo/CHEBI_23367>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33700>	<http://www.w3.org/2000/01/rdf-schema#label>	"proteinogenic amino-acid residue"	
<http://purl.obolibrary.org/obo/CHEBI_23004>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbamoyl group"	
<http://purl.obolibrary.org/obo/CHEBI_25697>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic cation"	
<http://purl.obolibrary.org/obo/CHEBI_37577>	<http://www.w3.org/2000/01/rdf-schema#label>	"heteroatomic molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33719>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-amino-acid cation"	
<http://purl.obolibrary.org/obo/CHEBI_22695>	<http://www.w3.org/2000/01/rdf-schema#label>	"base"	
<http://purl.obolibrary.org/obo/CHEBI_78433>	<http://www.w3.org/2000/01/rdf-schema#label>	"refrigerant"	
<http://purl.obolibrary.org/obo/CHEBI_50319>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleotide residue"	
<http://purl.obolibrary.org/obo/CHEBI_64898>	<http://www.w3.org/2000/01/rdf-schema#label>	"anionic amino-acid residue"	
<http://purl.obolibrary.org/obo/CHEBI_4705>	<http://www.w3.org/2000/01/rdf-schema#label>	"double-stranded DNA"	
<http://purl.obolibrary.org/obo/CHEBI_35881>	<http://www.w3.org/2000/01/rdf-schema#label>	"pnictogen hydride"	
<http://purl.obolibrary.org/obo/CHEBI_33692>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydrides"	
<http://purl.obolibrary.org/obo/CHEBI_50313>	<http://www.w3.org/2000/01/rdf-schema#label>	"onium cation"	
<http://purl.obolibrary.org/obo/CHEBI_37838>	<http://www.w3.org/2000/01/rdf-schema#label>	"carboacyl group"	
<http://purl.obolibrary.org/obo/CHEBI_36080>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein"	
